,color_intensity
2.6,4
4.6,4
3.8,4
3.4,3
5.0,3
4.5,3
5.4,3
5.6,3
3.05,3
5.7,3
2.9,3
2.8,3
5.1,3
7.65,2
2.06,2
6.0,2
4.8,2
2.7,2
4.9,2
1.95,2
2.65,2
3.3,2
6.2,2
7.3,2
7.5,2
5.75,2
2.5,2
3.25,2
7.1,2
2.45,2
3.94,1
4.1,1
5.45,1
2.12,1
3.0,1
2.94,1
2.76,1
2.08,1
1.28,1
1.9,1
3.08,1
2.0,1
4.92,1
2.3,1
2.15,1
3.85,1
9.4,1
4.35,1
4.4,1
9.3,1
10.2,1
7.7,1
9.7,1
9.899999,1
5.5,1
8.5,1
8.66,1
10.26,1
10.68,1
6.62,1
9.58,1
5.28,1
5.58,1
5.88,1
11.75,1
13.0,1
9.01,1
7.9,1
7.6,1
10.52,1
10.8,1
8.6,1
2.4,1
8.42,1
4.0,1
8.21,1
3.6,1
5.64,1
1.74,1
3.52,1
5.43,1
4.28,1
6.13,1
3.7,1
4.25,1
4.2,1
3.84,1
6.9,1
4.7,1
3.95,1
3.58,1
3.93,1
2.62,1
5.65,1
8.7,1
6.6,1
7.22,1
5.2,1
5.05,1
5.25,1
6.75,1
4.32,1
7.8,1
5.68,1
4.36,1
5.04,1
5.24,1
6.1,1
2.2,1
3.9,1
2.57,1
4.38,1
3.21,1
3.35,1
3.74,1
3.38,1
2.85,1
3.17,1
4.68,1
5.3,1
2.95,1
4.45,1
3.27,1
6.8,1
6.38,1
6.25,1
5.85,1
6.3,1
7.05,1
7.2,1
8.9,1
9.2,1
