,total_phenols
2.2,8
2.8,6
3.0,6
2.6,6
2.0,5
2.95,5
1.65,4
2.45,4
2.85,4
1.38,4
3.3,3
1.48,3
2.5,3
1.8,3
1.7,3
1.98,3
1.68,3
2.42,3
1.95,2
2.65,2
2.1,2
1.6,2
1.45,2
3.18,2
2.55,2
2.56,2
2.74,2
1.62,2
1.4,2
1.55,2
1.39,2
2.05,2
1.9,2
2.48,2
2.4,2
2.7,2
3.1,2
3.25,2
2.98,2
2.86,2
2.53,2
2.22,1
1.51,1
1.79,1
2.13,1
1.3,1
1.15,1
2.61,1
2.62,1
2.9,1
2.41,1
1.54,1
2.32,1
2.46,1
1.5,1
0.98,1
1.93,1
1.41,1
3.27,1
1.74,1
2.3,1
1.83,1
3.85,1
1.35,1
1.28,1
1.25,1
1.63,1
3.4,1
1.75,1
1.72,1
2.96,1
2.02,1
3.88,1
3.5,1
1.89,1
2.11,1
1.85,1
1.1,1
1.88,1
3.38,1
1.61,1
2.72,1
2.88,1
3.2,1
2.83,1
2.75,1
2.64,1
1.78,1
1.92,1
3.15,1
2.35,1
3.02,1
3.52,1
2.23,1
2.63,1
2.36,1
1.59,1
