类别,数量,类别,数量,类别,数量,类别,数量,类别,数量,类别,数量
13.05,6,11.82,2,11.76,1,13.69,1,13.76,1,11.62,1
12.37,6,13.49,2,14.34,1,13.52,1,13.68,1,12.69,1
12.08,5,13.56,2,12.58,1,13.36,1,14.02,1,11.64,1
12.29,4,12.85,2,12.36,1,12.53,1,13.87,1,11.65,1
12.42,3,13.83,2,12.2,1,12.07,1,13.3,1,12.16,1
12.25,3,13.16,2,12.52,1,12.81,1,13.39,1,12.67,1
12,3,13.24,2,11.46,1,12.88,1,13.64,1,13.2,1
12.33,2,14.06,2,11.61,1,12.86,1,14.19,1,13.03,1
13.17,2,13.4,2,12.22,1,12.04,1,14.3,1,11.66,1
13.73,2,13.86,2,14.16,1,12.96,1,13.63,1,12.99,1
13.58,2,14.1,2,13.27,1,12.45,1,14.75,1,13.82,1
13.48,2,14.38,2,13.84,1,11.79,1,13.75,1,12.21,1
14.22,2,12.6,2,11.56,1,12.43,1,14.12,1,13.34,1
13.88,2,12.93,2,13.08,1,11.87,1,14.83,1,12.17,1
11.84,2,13.71,2,13.78,1,14.23,1,14.39,1,13.67,1
13.11,2,13.45,1,12.84,1,11.81,1,14.2,1,12.64,1
13.5,2,12.82,1,13.32,1,12.47,1,14.37,1,13.72,1
12.77,2,11.45,1,12.87,1,13.41,1,14.21,1,13.29,1
12.7,2,13.23,1,12.79,1,13.07,1,13.9,1,13.74,1
12.72,2,11.03,1,12.34,1,13.28,1,13.94,1,13.77,1
12.51,2,11.41,1,13.62,1,13.51,1,11.96,1,14.13,1
